hora,tipo,local,n
18,Onibus,jackson,25
18,Caminhoes,bobs,4
18,Caminhoes,burrinhos,25
18,Caminhoes,jackson,13
18,Ciclistas,bobs,75
18,Ciclistas,burrinhos,39
18,Ciclistas,jackson,83
18,Pedestres,bobs,822
18,Pedestres,burrinhos,397
18,Pedestres,jackson,825
19,Carros,bobs,562
19,Carros,burrinhos,1295
19,Carros,jackson,372
19,Motos,bobs,189
19,Motos,burrinhos,731
19,Motos,jackson,176
19,Onibus,bobs,0
19,Onibus,burrinhos,13
19,Onibus,jackson,4
19,Caminhoes,bobs,2
19,Caminhoes,burrinhos,11
19,Caminhoes,jackson,5
19,Ciclistas,bobs,87
19,Ciclistas,burrinhos,23
19,Ciclistas,jackson,92
19,Pedestres,bobs,584
19,Pedestres,burrinhos,174
19,Pedestres,jackson,671
20,Carros,bobs,394
20,Carros,burrinhos,1029
20,Carros,jackson,324
20,Motos,bobs,173
20,Motos,burrinhos,525
20,Motos,jackson,109
20,Onibus,bobs,0
20,Onibus,burrinhos,2
20,Onibus,jackson,2
20,Caminhoes,bobs,3
20,Caminhoes,burrinhos,3
20,Caminhoes,jackson,7
20,Ciclistas,bobs,49
20,Ciclistas,burrinhos,105
20,Ciclistas,jackson,40
20,Pedestres,bobs,211
20,Pedestres,burrinhos,109
20,Pedestres,jackson,289
06,Carros,todos,364
06,Motos,todos,316
06,Onibus,todos,14
06,Caminhoes,todos,7
06,Ciclistas,todos,126
06,Pedestres,todos,463
07,Carros,todos,629
07,Motos,todos,492
07,Onibus,todos,9
07,Caminhoes,todos,11
07,Ciclistas,todos,92
07,Pedestres,todos,411
08,Carros,todos,609
08,Motos,todos,364
08,Onibus,todos,7
08,Caminhoes,todos,15
08,Ciclistas,todos,64
08,Pedestres,todos,243
09,Carros,todos,530
09,Motos,todos,198
09,Onibus,todos,7
09,Caminhoes,todos,12
09,Ciclistas,todos,43
09,Pedestres,todos,152
10,Carros,todos,537
10,Motos,todos,246
10,Onibus,todos,9
10,Caminhoes,todos,21
10,Ciclistas,todos,27
10,Pedestres,todos,91
11,Carros,todos,714
11,Motos,todos,334
11,Onibus,todos,11
11,Caminhoes,todos,17
11,Ciclistas,todos,40
11,Pedestres,todos,105
12,Carros,todos,682
12,Motos,todos,246
12,Onibus,todos,9
12,Caminhoes,todos,16
12,Ciclistas,todos,42
12,Pedestres,todos,109
13,Carros,todos,790
13,Motos,todos,264
13,Onibus,todos,7
13,Caminhoes,todos,17
13,Ciclistas,todos,38
13,Pedestres,todos,123
14,Carros,todos,756
14,Motos,todos,234
14,Onibus,todos,7
14,Caminhoes,todos,21
14,Ciclistas,todos,26
14,Pedestres,todos,113
15,Carros,todos,657
15,Motos,todos,229
15,Onibus,todos,9
15,Caminhoes,todos,16
15,Ciclistas,todos,41
15,Pedestres,todos,210
16,Carros,todos,716
16,Motos,todos,297
16,Onibus,todos,3
16,Caminhoes,todos,20
16,Ciclistas,todos,116
16,Pedestres,todos,412
17,Carros,todos,771
17,Motos,todos,306
17,Onibus,todos,16
17,Caminhoes,todos,20
17,Ciclistas,todos,126
17,Pedestres,todos,858
18,Carros,todos,727
18,Motos,todos,324
18,Onibus,todos,25
18,Caminhoes,todos,13
18,Ciclistas,todos,75
18,Pedestres,todos,822
19,Carros,todos,562
19,Motos,todos,189
19,Onibus,todos,4
19,Caminhoes,todos,5
19,Ciclistas,todos,87
19,Pedestres,todos,584
20,Carros,todos,394
20,Motos,todos,173
20,Onibus,todos,2
20,Caminhoes,todos,3
20,Ciclistas,todos,49
20,Pedestres,todos,211
